path,type,lines,purpose,exports,dependencies,risks
".dockerignore","config",8,"Docker build context exclusions for node_modules, build artifacts, env files, and development files.","","",""
".env.example","config",24,"Environment variable template for backend (DB, JWT, ports) and frontend (API URL, PWA).","DATABASE_URL, JWT_SECRET, PORT, VITE_API_URL","","Default JWT_SECRET must be changed in production"
".env.image","config",21,"Docker image environment variables for containerized deployment with production settings.","DATABASE_URL, JWT_SECRET, NODE_ENV, PORT","","Contains production JWT secret"
".gitignore","config",57,"Git exclusions for node_modules, build artifacts, env files, IDE configs, logs, and OS files.","","",""
"CHANGELOG.md","doc",63,"Version history tracking releases from v0.1.0 to v0.4.0 with features, improvements, and fixes.","","",""
"CHOICE_SYSTEM_README.md","doc",247,"Comprehensive documentation of class choice system architecture, data structures, and implementation patterns for D&D character choices.","","classChoices.ts, classChoiceService",""
"CLAUDE.md","doc",157,"AI coding assistant instructions covering project structure, dev commands, architecture, D&D template tag parsing requirements.","","","Critical parsing requirement for DnD template tags often missed"
"DND Character Sheet Prompt.prompt.md","doc",32,"Original project vision prompt for D&D 2024 character sheet generator with Nimble TTRPG homebrew.","","",""
"Dockerfile","infra",71,"Multi-stage Docker build: builds backend+frontend, generates Prisma client, runs migrations+seed on startup.","","node:20, prisma, package.json, backend/, frontend/","Entrypoint runs migrations+seed automatically"
"docker-compose.yml","infra",55,"Orchestrates PostgreSQL (port 5433) and app container with health checks, tuned Postgres config, persistent volumes.","","Dockerfile, .env.image, postgres:15","Uses default credentials (wtforge/wtforge)"
"INTEGRATION_COMPLETE.md","doc",404,"Detailed documentation of complete class choice system integration including all 12 classes, testing results, data structure examples.","","",""
"MODAL_SCROLL_FIX_SUMMARY.md","doc",200,"Technical summary of modal scroll bug fixes: body scroll lock, focus trap, backdrop click handling.","","",""
"PROJECT_STATUS.md","doc",125,"Current project status: 705 items, 391 spells, 77 feats, 16 backgrounds, 12 classes, 10 species imported; frontend in dev.","","","Frontend dependencies have compatibility issues"
"ProjectOverview.md","doc",743,"Comprehensive project documentation covering architecture, database schema, API design, frontend structure, deployment guide.","","",""
"README.md","doc",200,"Main project README with quick start, features, tech stack, development setup, deployment instructions.","","",""
"UPGRADE_INSTRUCTIONS.md","doc",185,"Step-by-step guide for upgrading PostgreSQL, migrating data, and deploying to production server.","","","Contains server-specific instructions for raptornet.dev"
"backend/prisma/schema.prisma","schema",561,"Complete PostgreSQL database schema with 23 models for D&D 2024 content (spells, classes, species, items, feats, backgrounds) and user/character management. Uses JSONB for flexible data storage.","User, Character, Campaign, Spell, Class, Species, Background, Item, Feat, Subclass, ClassSpell, ClassFeatureChoice, etc.","@prisma/client, prisma-json-types-generator","JSONB fields require careful validation; complex nested structures"
"backend/prisma/seed.ts","schema",172,"Database seeding script to populate reference data (spell schools, damage types, conditions, creature types, content versions).","seed","@prisma/client","Runs on every Docker startup; should be idempotent"
"backend/prisma/migrations/20250923011316_init_dnd_database/migration.sql","migration",269,"Initial database migration creating all core tables: users, characters, campaigns, spells, classes, species, backgrounds, items with indexes and constraints.","","","Large initial migration; cannot be rolled back easily"
"backend/prisma/migrations/20251001060000_add_class_spell_relationship/migration.sql","migration",18,"Adds class_spells join table to associate spells with classes/subclasses for spell list filtering.","","spells, classes tables",""
"backend/prisma/migrations/20251001120000_add_user_authentication/migration.sql","migration",30,"Adds authentication fields to users table (password_hash, discord_id) and password protection to characters.","","users, characters tables","Existing users need password hashes added"
"backend/prisma/migrations/20251006000000_add_species_description/migration.sql","migration",2,"Adds description TEXT field to species table for flavor text and lore.","","species table",""
"backend/prisma/migrations/20251006000001_add_missing_tables/migration.sql","migration",140,"Adds class choice system tables: class_feature_choices, class_feature_options, subclasses, fighting_styles, eldritch_invocations, divine_orders.","","classes table","Complex relational structure for choices"
"backend/prisma/migrations/20251006000002_update_items_schema/migration.sql","migration",47,"Updates items table schema with 30+ fields for weapon/armor properties, magic item details, costs, weights, rarity.","","items table","May require data migration for existing items"
"backend/package.json","config",75,"Backend npm package config with Express, Prisma, TypeScript, JWT auth, Socket.io, validation, testing setup.","","express, @prisma/client, jsonwebtoken, bcryptjs, socket.io, helmet, winston","Node >=18.0.0 required"
"backend/tsconfig.json","config",41,"TypeScript compiler configuration with strict mode, ES2020 target, outDir to dist/, path mappings.","","",""
"backend/.eslintrc.js","config",31,"ESLint configuration for TypeScript with @typescript-eslint plugin, code quality rules.","","@typescript-eslint/parser, @typescript-eslint/eslint-plugin",""
"backend/scripts/import-spells.js","script",289,"Imports 391 D&D 2024 spells from 5etools JSON format, parses components/duration/range, upserts to database.","","@prisma/client, spells.json","Requires XPHB source filtering"
"backend/scripts/import-classes.js","script",408,"Imports 12 D&D 2024 classes with hit dice, proficiencies, class features, spellcasting progression from JSON.","","@prisma/client, class JSON files","Complex JSONB structure for features"
"backend/scripts/import-species.js","script",315,"Imports 10 playable species/races with traits, speeds, ability score increases, languages, proficiencies.","","@prisma/client, race.json","D&D 2024 uses 'species' terminology"
"backend/scripts/import-backgrounds.js","script",358,"Imports 16 character backgrounds with skill proficiencies, tool proficiencies, equipment, features.","","@prisma/client, backgrounds.json",""
"backend/scripts/import-feats.js","script",401,"Imports 77 feats (general, origin, epic, fighting styles) with prerequisites, ability score increases, features.","","@prisma/client, feats.json","Complex prerequisite validation needed"
"backend/scripts/import-items.js","script",493,"Imports 705 items from XPHB (140) and XDMG (565): weapons, armor, magic items, gear with full properties.","","@prisma/client, items.json","97.4% success rate; 19 items failed import"
"backend/scripts/import-class-spells.js","script",156,"Imports class spell list associations, linking spells to classes/subclasses for spell selection filtering.","","@prisma/client, class-spells-data.js","Must run after spells and classes imported"
"backend/scripts/import-class-choices.js","script",357,"Imports class feature choices (fighting styles, metamagic, invocations, etc.) into choice system tables.","","@prisma/client, processed-data/*.json","Complex data transformation from 5etools format"
"backend/scripts/generate-random-character.js","script",440,"Generates random or manual D&D characters with ability scores, class, species, background, equipment, spells.","","@prisma/client, names.json","Test/demo script; not production character creation"
"backend/scripts/test-database.js","script",586,"Comprehensive database validation: counts all tables, verifies relationships, checks data integrity, reports stats.","","@prisma/client",""
"backend/scripts/export-to-seed.ts","script",100,"Exports database content to TypeScript seed file for Docker image reference data initialization.","","@prisma/client, fs","Large file output; only for reference data"
"backend/scripts/bulk-create-characters.js","script",147,"Bulk character creation utility for testing and demo data generation.","","@prisma/client","Test script only"
"backend/scripts/fix-warlock-choices.js","script",153,"Data fix script to correct Warlock Pact Boon and Eldritch Invocation choice structure.","","@prisma/client","One-time migration script"
"backend/scripts/add-species-descriptions.js","script",89,"Adds flavor text descriptions to species table from source data.","","@prisma/client","Data migration script"
"backend/src/server.ts","code",211,"Express server entrypoint with Socket.IO, CORS config, security middleware (helmet, compression), API routes, static frontend serving, database connection.","app, server, io, prisma","express, socket.io, helmet, cors, prisma, all route modules","Trusts first proxy for IP detection; CSP allows unsafe-inline"
"backend/src/db.ts","code",7,"Prisma client singleton instance export for database access across application.","prisma","@prisma/client",""
"backend/src/routes/auth.ts","code",464,"Authentication API routes: register, login, logout, token refresh, password reset, profile management with JWT and bcrypt.","router","express, bcryptjs, jsonwebtoken, express-validator, prisma","JWT secret must be strong; rate limiting critical"
"backend/src/routes/characters.ts","code",430,"Character CRUD API: create, read, update, delete characters with auth, validation, JSONB character_data storage.","router","express, prisma, auth middleware","Complex JSONB validation needed; password protection"
"backend/src/routes/spells.ts","code",248,"Spell API: search/filter spells by level, school, class, name with pagination, includes class spell lists.","router","express, prisma",""
"backend/src/routes/classes.ts","code",237,"Class API: get all classes, class by ID/name, class features, subclasses, spellcasting info.","router","express, prisma","Complex JSONB parsing for features"
"backend/src/routes/classChoices.ts","code",190,"Class choice API: fetch fighting styles, eldritch invocations, metamagic, divine orders for character creation.","router","express, prisma",""
"backend/src/routes/feats.ts","code",140,"Feat API: get all feats, filter by type (origin, general, epic), check prerequisites.","router","express, prisma","Prerequisite validation complex"
"backend/src/routes/items.ts","code",148,"Item API: search/filter items by type, rarity, source, magic status with pagination.","router","express, prisma",""
"backend/src/routes/backgrounds.ts","code",69,"Background API: get all backgrounds, background by ID/name with proficiencies and equipment.","router","express, prisma",""
"backend/src/routes/races.ts","code",69,"Species/race API: get all species, species by ID/name with traits, speeds, proficiencies.","router","express, prisma","Uses 'races' route but species terminology"
"backend/src/routes/campaigns.ts","code",10,"Campaign API stub for future campaign management features.","router","express","Not yet implemented"
"backend/src/routes/generator.ts","code",518,"Random character generator API: generates complete characters with abilities, class, species, background, equipment, spells.","router","express, prisma","Complex generation logic; test/demo feature"
"backend/src/middleware/auth.ts","code",152,"JWT authentication middleware: verifies tokens, extracts user, protects routes, handles token refresh.","authenticate, optionalAuth, requireDM","jsonwebtoken, express","Token expiration and secret rotation needed"
"backend/src/middleware/errorHandler.ts","code",68,"Global error handler middleware: catches errors, logs, returns structured JSON responses.","errorHandler","winston logger",""
"backend/src/middleware/rateLimiter.ts","code",19,"Rate limiting middleware using express-rate-limit to prevent abuse.","rateLimiter","express-rate-limit","Requires trust proxy setting"
"backend/src/middleware/requestLogger.ts","code",39,"HTTP request logging middleware using Winston for access logs.","requestLogger","winston logger",""
"backend/src/middleware/sanitize.ts","code",99,"Input sanitization middleware to prevent XSS/injection attacks on request body/query/params.","sanitizeInput","validator",""
"backend/src/types/auth.types.ts","code",59,"TypeScript type definitions for authentication: User, LoginRequest, RegisterRequest, JWTPayload, AuthResponse.","AuthTypes, JWTPayload, LoginRequest, RegisterRequest, etc.","",""
"backend/src/types/index.ts","code",4,"Central type export barrel file re-exporting all type modules.","*","auth.types",""
"backend/src/utils/logger.ts","code",38,"Winston logger configuration with console/file transports, log levels, formatting.","logger","winston","Log file rotation needed for production"
"backend/src/validators/auth.validator.ts","code",125,"Express-validator validation rules for auth routes: email format, password strength, username constraints.","validateRegister, validateLogin, validatePasswordReset","express-validator",""
"backend/src/scripts/seed-reference.ts","script",88,"Production seed script run in Docker to populate reference data (spell schools, damage types, conditions, etc.).","","@prisma/client","Runs on Docker startup; must be idempotent"
"frontend/package.json","config",89,"Frontend npm config: React 18, TypeScript, Vite, Styled Components, React Router, React Query, Zustand state, PWA support.","","react, vite, styled-components, react-router-dom, @tanstack/react-query, zustand",""
"frontend/tsconfig.json","config",26,"TypeScript config for frontend with JSX, ES2020, path aliases (@/), strict mode.","","",""
"frontend/vite.config.ts","config",34,"Vite build config with PWA plugin, React plugin, path aliases, proxy to backend API.","","vite, @vitejs/plugin-react, vite-plugin-pwa",""
"frontend/tailwind.config.js","config",18,"Tailwind CSS configuration with custom colors, fonts, animations for D&D theme.","","tailwindcss",""
